"";"SoilCode";"LandUseCode";"soilveg";"k";"s";"nrill";"pi";"ppl";"ret";"b";"nsheet";"y";"tau";"v"
"63";"SIC";"VP";"SICVP";1e-12;0;0,01;0;0;0;1,5847;0,001;0,48887216;100;3
"64";"SICL";"AZP";"SICLAZP";1e-12;0;0,012;0;0;2,5;1,5847;0,05;0,48887216;100;3
"65";"SICL";"ETK";"SICLETK";1,81567e-06;0,000129897;0,012;1,4;0,65;8;1,7025;0,35;0,6028;11,5;0,264
"66";"SICL";"ITK";"SICLITK";1,81567e-06;0,000129897;0,012;1;0,4;5;1,7025;0,15;0,6028;11,5;0,264
"67";"SICL";"LP";"SICLLP";1,81567e-06;0,000129897;0,012;1,354545455;0,622727273;9,454545455;1,7025;0,4;0,6028;11,5;0,264
"68";"SICL";"OP";"SICLOP";1,81567e-06;0,000129897;0,012;0,16;0,13;5;1,7025;0,12;0,6028;11,5;0,264
"69";"SICL";"TP";"SICLTP";1,81567e-06;0,000129897;0,012;1,1;0,4;7;1,7025;0,275;0,6028;11,5;0,264
"70";"SICL";"VP";"SICLVP";1e-12;0;0,012;0;0;0;1,5847;0,001;0,48887216;100;3
"71";"SAC";"AZP";"SACAZP";1e-12;0;0,012;0;0;2,5;1,5847;0,05;0,48887216;100;3
"72";"SAC";"ETK";"SACETK";0;0;0,012;1,4;0,65;8;0;0,35;0;100;3
"73";"SAC";"ITK";"SACITK";0;0;0,012;1;0,4;5;0;0,15;0;100;3
"74";"SAC";"LP";"SACLP";0;0;0,012;1,354545455;0,622727273;9,454545455;0;0,4;0;100;3
"75";"SAC";"OP";"SACOP";0;0;0,012;0,16;0,13;5;0;0,12;0;100;3
"76";"SAC";"TP";"SACTP";0;0;0,012;1,1;0,4;7;0;0,275;0;100;3
"77";"SAC";"VP";"SACVP";1e-12;0;0,012;0;0;0;1,5847;0,001;0,48887216;100;3
"78";"SI";"AZP";"SIAZP";1e-12;0;0,012;0;0;2,5;1,5847;0,05;0,48887216;100;3
"79";"SI";"ETK";"SIETK";0;0;0,012;1,4;0,65;8;0;0,35;0;100;3
"80";"SI";"ITK";"SIITK";0;0;0,012;1;0,4;5;0;0,15;0;100;3
"81";"SI";"LP";"SILP";0;0;0,012;1,354545455;0,622727273;9,454545455;0;0,4;0;100;3
"82";"SI";"OP";"SIOP";0;0;0,012;0,16;0,13;5;0;0,12;0;100;3
"83";"SI";"TP";"SITP";0;0;0,012;1,1;0,4;7;0;0,275;0;100;3
"84";"SI";"VP";"SIVP";1e-12;0;0,012;0;0;0;1,5847;0,001;0,48887216;100;3
"85";"NO";"AZP";"NOAZP";1e-12;0;0,01;0;0;2,5;1,5847;0,05;0,48887216;100;3
"86";"NO";"ETK";"NOETK";0;0;0,01;1,4;0,65;8;1,5847;0,35;0,48887216;100;3
"87";"NO";"ITK";"NOITK";0;0;0,01;1;0,4;5;1,5847;0,15;0,48887216;100;3
"88";"NO";"LP";"NOLP";0;0;0,01;1,354545455;0,622727273;9,454545455;1,5847;0,4;0,48887216;100;3
"89";"NO";"OP";"NOOP";0;0;0,01;0,16;0,13;5;1,5847;0,12;0,48887216;100;3
"90";"NO";"TP";"NOTP";0;0;0,01;1,1;0,4;7;1,5847;0,275;0,48887216;100;3
"91";"NO";"VP";"NOVP";1e-12;0;0,01;0;0;0;1,5847;0,001;0,48887216;100;3
